id_venta,fecha,id_producto,cantidad,precio_unitario,sucursal,metodo_pago
V0173,2026-02-22,P009,3,1750,Paraiso,Transferencia
V0173,2026-02-22,P005,2,1350,Paraiso,Transferencia
V0174,2026-04-01,P025,1,945,Oreamuno,Transferencia
V0175,2026-01-31,P017,2,998,Paraiso,Efectivo
V0175,2026-01-31,P030,3,1250,Paraiso,Efectivo
V0175,2026-01-31,P007,3,808,Paraiso,Efectivo
V0175,2026-01-31,P004,3,1800,Paraiso,Efectivo
V0176,2026-01-12,P004,2,1800,Paraiso,Tarjeta
V0176,2026-01-12,P003,2,998,Paraiso,Tarjeta
V0176,2026-01-12,P024,2,1995,Paraiso,Tarjeta
V0176,2026-01-12,P025,1,855,Paraiso,Tarjeta
V0177,2026-05-18,P006,2,3200,Oreamuno,Transferencia
V0177,2026-05-18,P010,2,2660,Oreamuno,Transferencia
V0178,2026-05-26,P002,2,1522,Paraiso,SINPE
V0178,2026-05-26,P007,2,892,Paraiso,SINPE
V0178,2026-05-26,P013,2,2375,Paraiso,SINPE
V0179,2026-09-17,P025,1,900,Paraiso,Efectivo
V0180,2026-04-01,P011,4,1100,Cartago,Transferencia
V0180,2026-04-01,P012,1,682,Cartago,Transferencia
V0181,2026-08-06,P022,1,3500,Oreamuno,SINPE
V0181,2026-08-06,P009,2,1750,Oreamuno,SINPE
V0181,2026-08-06,P026,3,1680,Oreamuno,SINPE
V0182,2026-09-17,P008,2,2600,Oreamuno,Tarjeta
V0182,2026-09-17,P030,3,1188,Oreamuno,Tarjeta
V0182,2026-09-17,P025,2,945,Oreamuno,Tarjeta
V0183,2026-02-25,P025,2,900,Paraiso ,Transferencia
V0183,2026-02-25,P008,4,2600,Paraiso ,Transferencia
V0184,2026-03-10,P029,3,1850,Oreamuno,Transferencia
V0184,2026-03-10,P004,2,1800,Oreamuno,Transferencia
V0184,2026-03-10,P014,1,2945,Oreamuno,Transferencia
V0185,2026-08-31,P011,3,1100,Oreamuno,Efectivo
V0186,2026-05-24,P025,4,945,Paraiso,Transferencia
V0186,2026-05-24,P009,1,1750,Paraiso,Transferencia
V0186,2026-05-24,P016,4,1260,Paraiso,Transferencia
V0186,2026-05-24,P028,3,1100,Paraiso,Transferencia
V0187,2026-06-13,P007,2,850,Oreamuno,SINPE
V0188,2026-03-05,P002,3,1450,Paraiso,SINPE
V0189,2026-08-30,P008,3,2600,Cartago,Efectivo
V0189,2026-08-30,P010,1,2660,Cartago,Efectivo
V0189,2026-08-30,P011,4,1100,Cartago,Efectivo
V0189,2026-08-30,P015,2,1900,Cartago,Efectivo
V0190,2026-07-03,P029,1,1850,Oreamuno,SINPE
V0191,2026-06-02,P011,3,1100,OREAMUNO,Tarjeta
V0191,2026-06-02,P022,4,3500,OREAMUNO,Tarjeta
V0191,2026-06-02,P029,3,1942,OREAMUNO,Tarjeta
V0192,2026-07-02,P015,4,1805,Oreamuno,Transferencia
V0192,2026-07-02,P018,1,1102,Oreamuno,Transferencia
V0192,2026-07-02,P030,1,1312,Oreamuno,Transferencia
V0193,2026-04-09,P008,3,2600,Oreamuno,Tarjeta
V0193,2026-04-09,P021,3,2400,Oreamuno,Tarjeta
V0193,2026-04-09,P011,4,1100,Oreamuno,Tarjeta
V0194,2026-07-30,P009,2,1750,Paraiso,Transferencia
V0194,2026-07-30,P028,3,1100,Paraiso,Transferencia
V0195,2026-05-25,P012,2,618,Cartago,Transferencia
V0196,2026-01-01,P016,1,1200,Oreamuno,Transferencia
V0196,2026-01-01,P007,2,808,Oreamuno,Transferencia
V0196,2026-01-01,P004,1,1800,Oreamuno,Transferencia
V0197,2026-06-16,P016,1,1200,Cartago,SINPE
V0197,2026-06-16,P014,4,2945,Cartago,SINPE
V0197,2026-06-16,P029,4,1850,Cartago,SINPE
V0198,2026-07-16,P007,2,892,Cartago,Efectivo
V0198,2026-07-16,P027,3,1350,Cartago,Efectivo
V0198,2026-07-16,P021,1,2400,Cartago,Efectivo
V0199,2026-02-08,P014,1,2945,Paraiso,SINPE
V0199,2026-02-08,P007,4,892,Paraiso,SINPE
V0199,2026-02-08,P010,4,2940,Paraiso,SINPE
V0200,2026-02-04,P013,3,2375,Cartago,Efectivo
V0200,2026-02-04,P021,4,2520,Cartago,Efectivo
V0200,2026-02-04,P022,3,3500,Cartago,Efectivo
V0201,2026-05-16,P022,2,3500,Cartago,Efectivo
V0202,2026-02-12,P008,4,2600,Cartago,SINPE
V0202,2026-02-12,P015,1,1900,Cartago,SINPE
V0202,2026-02-12,P012,3,650,Cartago,SINPE
V0202,2026-02-12,P007,3,808,Cartago,SINPE
V0203,2026-05-07,P020,4,1150,Oreamuno,Transferencia
V0204,2026-04-02,P011,2,1045,Cartago,Transferencia
V0204,2026-04-02,P017,2,950,Cartago,Transferencia
V0204,2026-04-02,P023,2,1350,Cartago,Transferencia
V0204,2026-04-02,P028,2,1100,Cartago,Transferencia
V0205,2026-03-09,P027,1,1418,Paraiso,Tarjeta
V0205,2026-03-09,P018,4,1050,Paraiso,Tarjeta
V0206,2026-03-01,P011,4,1155,Paraiso,Efectivo
V0207,2026-01-04,P024,4,2100,Oreamuno,Transferencia
V0207,2026-01-04,P008,3,2470,Oreamuno,Transferencia
V0207,2026-01-04,P021,1,2280,Oreamuno,Transferencia
V0207,2026-01-04,P016,1,1200,Oreamuno,Transferencia
V0208,2026-08-15,P003,2,902,Oreamuno,SINPE
V0209,2026-05-12,P030,4,1250,Oreamuno,Efectivo
V0209,2026-05-12,P003,3,950,Oreamuno,Efectivo
V0210,2026-01-01,P025,4,945,Cartago,Tarjeta
V0211,2026-03-27,P029,1,1850,Cartago,SINPE
V0211,2026-03-27,P003,4,950,Cartago,SINPE
V0211,2026-03-27,P028,2,1100,Cartago,SINPE
V0212,2026-04-02,P014,4,3100,Paraiso,Tarjeta
V0212,2026-04-02,P006,1,3200,Paraiso,Tarjeta
V0212,2026-04-02,P019,4,2250,Paraiso,Tarjeta
V0212,2026-04-02,P002,3,1522,Paraiso,Tarjeta
V0213,2026-04-28,P024,3,2100,Oreamuno,Efectivo
V0213,2026-04-28,P002,1,1450,Oreamuno,Efectivo
V0213,2026-04-28,P028,3,1100,Oreamuno,Efectivo
V0213,2026-04-28,P012,1,618,Oreamuno,Efectivo
V0214,2026-02-19,P021,1,2520,Cartago,Efectivo
V0215,2026-04-07,P011,3,1100,Oreamuno,Tarjeta
V0215,2026-04-07,P016,4,1260,Oreamuno,Tarjeta
V0215,2026-04-07,P020,2,1150,Oreamuno,Tarjeta
V0216,2026-08-10,P011,4,1045,Cartago,Tarjeta
V0217,2026-07-07,P016,4,1200,Oreamuno,Efectivo
V0217,2026-07-07,P012,3,650,Oreamuno,Efectivo
V0217,2026-07-07,P007,4,892,Oreamuno,Efectivo
V0218,2026-07-19,P030,3,1250,Cartago,SINPE
V0218,2026-07-19,P001,2,1250,Cartago,SINPE
V0218,2026-07-19,P022,3,3500,Cartago,SINPE
V0219,2026-06-17,P017,3,950,Paraiso,Transferencia
V0219,2026-06-17,P019,2,2250,Paraiso,Transferencia
V0220,2026-06-06,P025,3,900,Oreamuno,sinpe
V0220,2026-06-06,P010,1,2800,Oreamuno,sinpe
V0220,2026-06-06,P019,2,2250,Oreamuno,sinpe
V0221,2026-03-09,P018,2,1102,Paraiso,SINPE
V0221,2026-03-09,P019,4,2250,Paraiso,SINPE
V0222,2026-05-21,P020,2,1150,Cartago,SINPE
V0222,2026-05-21,P008,4,2600,Cartago,SINPE
V0222,2026-05-21,P003,3,998,Cartago,SINPE
V0222,2026-05-21,P012,3,650,Cartago,SINPE
V0223,2026-06-14,P012,2,682,Paraiso,Tarjeta
V0223,2026-06-14,P002,3,1522,Paraiso,Tarjeta
V0223,2026-06-14,P015,1,1995,Paraiso,Tarjeta
V0223,2026-06-14,P022,2,3500,Paraiso,Tarjeta
V0224,2026-07-24,P017,2,950,PARAISO,SINPE
V0224,2026-07-24,P020,3,1092,PARAISO,SINPE
V0224,2026-07-24,P026,1,1600,PARAISO,SINPE
V0225,2026-01-03,P011,1,1100,Cartago,Transferencia
V0226,2026-03-28,P027,1,1350,Oreamuno,Transferencia
V0226,2026-03-28,P028,1,1100,Oreamuno,Transferencia
V0227,2026-02-10,P013,1,2500,Cartago,SINPE
V0228,2026-04-21,P010,2,2800,Paraiso,Efectivo
V0228,2026-04-21,P014,4,2945,Paraiso,Efectivo
V0228,2026-04-21,P004,1,1890,Paraiso,Efectivo
V0229,2026-07-14,P002,2,1378,Paraiso,Tarjeta
V0229,2026-07-14,P017,4,950,Paraiso,Tarjeta
V0230,2026-05-22,P019,2,2250,Paraiso,Transferencia
V0230,2026-05-22,P008,4,2600,Paraiso,Transferencia
V0231,2026-07-27,P002,2,1450,Cartago,Efectivo
V0231,2026-07-27,P006,1,3200,Cartago,Efectivo
V0232,2026-06-30,P017,2,950,Cartago,Transferencia
V0233,2026-03-25,P024,4,1995,Paraiso,Transferencia
V0233,2026-03-25,P005,1,1350,Paraiso,Transferencia
V0233,2026-03-25,P030,1,1250,Paraiso,Transferencia
V0234,2026-07-20,P020,3,1150,Cartago,Efectivo
V0234,2026-07-20,P016,3,1260,Cartago,Efectivo
